Export;EXP-2023-01 (20230707 04:39);;;StationsCode;NL01483;NL01485;NL01486;NL01487;NL01488;NL01489;NL01491;NL01493;NL01494;NL01495;NL01496;NL01908;NL10107;NL10131;NL10133;NL10136;NL10137;NL10138;NL10227;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10245;NL10246;NL10247;NL10301;NL10318;NL10404;NL10411;NL10418;NL10433;NL10437;NL10442;NL10444;NL10445;NL10446;NL10520;NL10537;NL10538;NL10547;NL10548;NL10549;NL10631;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938;NL49002;NL49003;NL49007;NL49012;NL49014;NL49017;NL49019;NL49020;NL49021;NL49022;NL49546;NL49551;NL49553;NL49561;NL49564;NL49565;NL49701;NL49703;NL49704;NL53001;NL53004;NL53015;NL53016
NO2;uur;µg/m³;20130101 01:00;20130101 02:00;10.6;10.5;11.7;16.5;12.3;18.1;25.9;17.8;25.4;12.1;6.1;;2.88;3.62;2.13;;2.2;;3.09;3.83;11.58;13.15;8.84;8.21;11.18;12.44;4.41;3.99;7.16;3.77;22.94;20.16;19.45;15.77;8.53;13.98;11.79;26.31;11.05;25.46;17.8;13.02;11.57;10.38;13.53;9.14;10.18;14.23;19.53;13.92;;9.71;2.29;7.01;16.85;7.76;6.06;9.59;10.44;4.04;10.37;20.54;9.37;78;18;22;34;15;38;23;37;15;14;22;5;10.5;20.5;15;13;19;16;17;22.8;;;
NO2;uur;µg/m³;20130101 02:00;20130101 03:00;10.5;7.4;8.6;12.4;9.8;16;25.5;16.9;21.9;17.4;9.9;;3.1;3.34;2.08;;1.97;;3.02;4.29;10.85;11.35;7.42;8.47;10.76;7.8;3.75;3.63;4.17;4.14;17.09;22.4;18.39;15;6.59;11.75;8.51;21.07;8.2;24.84;13.16;8.07;9.4;8.04;10.51;8.58;7.6;13.1;12.95;13.94;;7.65;2.75;4.93;8.57;5.73;4.92;8.53;11.98;4.46;11.23;13.29;7.89;94;19;20;33;14;43;23;35;10;11;22;4;13.5;18.5;10;12;15;9;12;21;;;
NO2;uur;µg/m³;20130101 03:00;20130101 04:00;8.9;7.8;11.6;15.6;10.2;10.3;21.6;19.4;20.7;24.7;19.5;;4.29;3.24;2.5;;2.17;;3.25;4.34;9.13;10.7;6.73;7.34;10.57;14.97;4.12;4.66;6.51;4.18;16.83;21.56;14.41;27.06;4.17;11.39;5.07;26.13;16.47;28.92;11.32;7.01;6.8;6.04;8.99;7.67;6.6;10.28;9.59;10.64;;6.18;3.3;4.39;6.51;5.02;4.76;7.58;12.02;4.74;12.36;14.34;9.22;105;19;18;34;19;52;29;44;9;11;19;4;15.5;12.5;9;10;15;7;7;9.2;;;
NO2;uur;µg/m³;20130101 04:00;20130101 05:00;7.9;7.3;6.5;10.8;10.5;9.5;24.5;25.6;30.4;21.5;38.2;;5.41;3.39;2.57;;2.65;;3.46;3.62;10.86;11.01;6.66;7.07;12.83;19.27;4.35;5.73;5.73;3.75;23.98;26.92;13.35;34.31;4.45;6.37;5.55;38.07;21.49;22.03;10.47;5.74;6.66;5.94;7.24;6.1;10.85;10.54;9.94;11.8;;4.66;2.54;4.25;6.91;4.81;3.7;7.03;10.27;4.14;12.97;21.19;9.63;70;21;14;25;13;46;27;44;10;7;21;13;7;11.5;6;;9;6;15;9.9;;;
NO2;uur;µg/m³;20130101 05:00;20130101 06:00;7.9;7.9;6.7;8.9;7.4;15.2;36;25.5;39.9;36.1;27.6;;6.84;3.22;2.64;;2.34;;3.71;3.55;12.5;11.34;7.99;6.94;13.24;18.45;6.07;5.67;4.13;3.9;18.89;44.46;17.46;45.58;5.79;8.29;7.55;54.35;32.54;14.87;13.51;4.88;7.3;7.32;8.09;5.8;13.77;9.82;9.4;15.43;;5.4;2.3;4.92;8.57;5.45;3.98;6.83;8.69;3.66;11.19;15.59;7.96;27;23;12;22;13;40;23;55;11;7;27;26;8;12.5;7;10;10;8;23;13.3;;;
NO2;uur;µg/m³;20130101 06:00;20130101 07:00;14.5;5.7;6.8;8.5;7.2;15.4;31;27.6;35.8;31;16.8;;4.77;3.72;2.04;;2.54;;3.97;3.34;13.15;11.56;7.54;8.04;13.78;20.66;7.8;5.1;6.74;5.17;15.79;41.1;17.61;33.46;7;10.56;7.36;31.2;32.5;22.62;26.44;3.28;9.08;6.25;8.56;5.84;9.29;11.06;10.48;12.29;;5.97;2.73;6.12;9.14;6.53;3.63;5.9;3.57;3.55;6.43;11.8;7.42;37;21;19;28;17;38;25;28;12;9;38;8;8;17.1;8;12;13;9;15;19.7;;;
NO2;uur;µg/m³;20130101 07:00;20130101 08:00;28.4;22.3;14.1;22;18;14.1;28;36;28.8;41.9;24.7;;6.8;3.98;2.46;;2.61;;4;3.55;13.37;11.74;8.28;7.96;13.81;24.2;7.05;;3.51;4.62;11.84;41.92;24.43;20.19;5.15;12.76;4.93;26.57;11.86;56.82;22.6;3.71;8.72;9.48;10.31;6.44;9.33;10.4;10.67;14.3;;8;2.89;6.32;9.73;7.42;3.89;5.68;3.79;3.56;7.36;11.87;5.82;100;43;29;52;20;40;41;25;14;10;42;17;10;20.1;17.6;14;14;10;23;13.8;;;
NO2;uur;µg/m³;20130101 08:00;20130101 09:00;60.5;70.5;33.6;52.1;36.3;34.3;55;44.8;33.3;43.4;18.4;;5.95;3.8;2.22;;2.62;;4.34;4.15;10.68;12.11;8.83;8.16;12.77;13.58;5.47;7.02;2.98;4.22;15.85;39.23;36.05;34.96;7.27;12.21;4.02;25.52;16.36;40.8;17.5;4.45;12.32;12.72;12.2;6.32;6.02;15.56;13.14;16.41;;7.43;4.6;6.13;7.56;5.9;4.15;4.16;3.62;3.91;7.53;18.03;6.43;64;37;25;31;24;32;27;28;16;13;30;47;11;27.6;23.1;22;25;10;13;17.2;;;
NO2;uur;µg/m³;20130101 09:00;20130101 10:00;45.4;36.4;38.5;54.3;40.7;55.2;39.7;37.6;27.5;13.5;4.7;;5.6;4.04;2.52;;2.82;;4.41;4.36;8.64;13.16;8.51;13.82;9.93;10.21;4.63;6.95;5.79;3.5;9.39;27.77;32.43;29.04;8.97;29.35;5.02;24.4;9.63;21.71;15.23;3.49;16.9;18.19;14.14;7.1;6.15;20.19;16.02;16.78;;13.29;4.6;6.84;9.37;7.26;4.61;4.35;4.44;3.29;7.45;18.39;6.88;46;17;20;18;18;27;27;23;17;11;16;11;4;14.5;19.2;10;10;13;11;;;;
NO2;uur;µg/m³;20130101 10:00;20130101 11:00;58.2;24.2;29.1;15;11.8;13.4;24.8;17.6;14.9;13.8;7.3;;7.83;4.36;3.94;;3.6;;5.52;6.75;6.67;12.05;10.58;8.75;9.66;11.14;7.99;7.39;4.5;4.8;11.71;27.2;10.43;23.76;21.83;16.68;3.18;24.37;12.56;24.05;18.96;3.8;14.23;13.22;11.74;8.2;4.93;12.87;15.84;14.99;;9.44;3.71;6.38;16.53;9.59;3.34;5.1;2.63;2.88;8.49;17.35;8.06;35;14;33;19;29;39;28;30;15;12;18;7;10.5;15.5;58.6;18;8;13;8;10.2;;;
NO2;uur;µg/m³;20130101 11:00;20130101 12:00;43.9;27.3;33.9;33;21.5;35.9;29.6;25.1;17.6;11.5;4.3;;11.46;5.79;7.75;;5;;6.13;9.71;6.74;17.5;12.42;12.13;16.69;16.04;11.44;7.19;2.62;3.05;10.16;23.19;18.14;21.55;19.9;18.91;2.85;16.94;11.38;27.94;21.02;4.84;25.79;17;13.37;5.34;5.05;16.15;14.63;23.06;;4.65;4.57;5.92;19.18;12.29;5.54;5.6;3.32;4.48;7.29;13.76;8.52;48;20;27;31;22;38;39;;23;8;22;4;8.5;20.1;54.4;12;8;7;6;13.2;;;
NO2;uur;µg/m³;20130101 12:00;20130101 13:00;31.3;35.5;22;34.9;21.5;36.8;26.2;20.9;13.6;18.4;9.3;;9.51;6.37;10.78;;8.67;;7.04;12.75;5.57;17.74;14.03;18.83;13.98;9.75;6.29;8.69;2.66;4.27;8.42;19.07;13.74;17.39;7.23;19.76;2.94;17.62;9.46;22.21;20.92;4.78;20.75;20;19.67;6.74;4.2;24.13;14.26;19.05;;6.1;3.37;5.34;22.92;15.52;4.45;4.26;2.67;5.43;5.61;11.65;7.49;41;15;18;23;13;27;22;15;10;6;19;11;6.5;12.5;51.5;9;7;5;7;8.6;;;
NO2;uur;µg/m³;20130101 13:00;20130101 14:00;21.4;37.5;19.5;33.4;17.3;36.9;26.4;19.1;14.8;22.3;24.3;;6.98;5.97;5.67;;9.61;;7.19;14.97;4.23;31.38;21.59;9.32;6.15;5.73;4.12;10.99;2.44;2.21;8.63;13.65;14.27;13.83;4.85;16.64;2.37;16.45;10.3;14.77;21.12;3.82;13.92;13.44;11.37;6.23;4.04;21.51;13.48;17.69;;7.44;3.82;9.79;27.81;15.97;5.76;6.13;3.91;3.32;4.98;9.22;7.36;31;13;16;22;12;20;16;15;10;5;14;7;5.5;10.5;33.9;7;6;4;11;8.6;;;
NO2;uur;µg/m³;20130101 14:00;20130101 15:00;22.1;37;20;45.3;21;57.5;35.8;30.4;25.3;20;24.6;;9;8.72;6.36;;10.22;;6.81;6.22;4.03;30.2;22.05;13.37;6.59;5;4.5;7.32;1.92;3.32;9.68;12.42;22.57;14.27;4.58;12.98;3.16;19.86;10.3;19.05;21.63;4.05;12.6;11.83;8.56;5.1;4.2;18.11;13.46;18.62;;7.21;6.29;7.51;25.87;13.83;6.6;6.16;3.51;3.04;4.9;13.54;6.29;34;14;18;21;14;20;17;18;8;5;19;13;6.5;8.5;4;9;9;4;13;7.2;;;
NO2;uur;µg/m³;20130101 15:00;20130101 16:00;36.5;18.9;21.3;45.1;23;54.5;46.6;27.9;18.5;21;14.2;;9.44;11.8;10.84;;15.26;;4.87;4.97;4.48;22.79;16.76;20.91;11.22;6.65;4.61;5.31;2.44;3.21;9.36;21.31;22.52;13.6;6.08;15.52;3.31;25.29;13.17;17.7;21.14;4.78;19.2;16.29;10.43;4.93;4.05;25.24;22.17;23.68;;8.02;7.68;5.54;29.27;13.78;7.27;5.68;4.53;2.84;7.67;18.78;7.74;72;11;24;17;16;24;20;28;10;6;18;;;8.5;;15;9;5;12;11.7;;;
NO2;uur;µg/m³;20130101 16:00;20130101 17:00;41;12.9;32.2;52.9;38.7;54.1;45.6;34.5;19.8;24.1;6.9;;14.27;7.75;8.98;;17.13;;4.17;5.98;11.91;30.86;23.21;25.5;13.54;10.93;5.75;5.7;2.26;4.61;10.16;16.36;22.8;14.32;5.35;17;3.23;32.3;14.52;18.5;24.32;5.14;25.95;21.88;14.19;5.79;4.78;27.72;25.45;23.89;;9.91;7.16;5.92;33.39;18.6;6.05;4.99;4.4;3.97;7.5;25.19;11.13;79;11;28;20;22;32;23;39;12;9;19;30;8.5;11.5;4;11;8;7;6;19.7;;;
NO2;uur;µg/m³;20130101 17:00;20130101 18:00;36.5;13.1;49.2;55.2;42.2;56.2;47.1;37.2;20;23.1;10.9;;22.2;9.58;11.93;;20.4;;8.78;4.26;12.51;30.91;26.01;29.56;17.53;16.12;7.03;9.02;2.12;8;9.03;28.52;32.27;14.09;5.06;18.54;2.96;29.01;15.64;25.89;21.61;4.65;21.29;20.29;17.32;10.35;6.65;33.45;37.58;27.75;;15.07;5.18;8.09;38.24;25.27;6.99;5.56;4.34;4.87;8.66;26.48;11.25;89;17;31;26;24;39;27;46;19;8;20;32;7.5;14.1;4;10;7;6;12;19;;;
